"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","Ros","+/-"
"*0518g*","Trevor McDonald","SF","SP","428","FA","25","@MIL Wed 7:40PM","47.22","7.87","50%","-3%"
"*066du*","Brad Lord","WSH","SP,RP","429","FA","26","MIA Wed 1:05PM","47.21","2.78","22%","-1%"
"*04pqo*","Braydon Fisher","TOR","SP,RP","430","FA","25","@ATL Wed 7:15PM","47.11","1.52","27%","-1%"
"*0648z*","Victor Scott","STL","OF","432","FA","25","TEX Wed 7:45PM","47","0.82","30%","-1%"
"*05nso*","Abner Uribe","MIL","RP","433","FA","25","SF Wed 7:40PM","46.37","1.93","80%","-2%"
"*01xfr*","Patrick Corbin","TOR","SP","434","FA","36","@ATL Wed 7:15PM","46.28","4.63","21%","-2%"
"*041vm*","Dylan Lee","ATL","RP","435","FA","31","TOR Wed 7:15PM","46.13","1.65","52%","0%"
"*04q56*","Logan O'Hoppe","LAA","C","437","FA","26","COL Wed 9:38PM","46","1.18","44%","-2%"
"*05ahg*","Austin Wells","NYY","C","441","FA","26","CLE Wed 7:05PM","46","1.02","41%","-1%"
"*04pmw*","Alek Thomas","LAD","OF","440","FA","26","@ARI Wed 9:40PM","46","1.64","14%","0%"
"*0514k*","Pedro Pages","STL","C","438","FA","27","TEX Wed 7:45PM","46","1.24","12%","-2%"
"*04xne*","Yoendrys Gomez","MIN","SP,RP","442","FA","26","CHW Wed 1:40PM","45.9","2","28%","0%"
"*06491*","Orion Kerkering","PHI","RP","443","FA","25","SD Wed 6:40PM","45.37","1.81","28%","0%"
"*04tk1*","Slade Cecconi","CLE","SP","444","FA","26","@NYY Wed 7:05PM","45.35","3.78","38%","-4%"
"*04z6k*","Luisangel Acuna","CHW","2B,SS,OF","445","FA","24","@MIN Wed 1:40PM","45","1","28%","-1%"
"*05xu1*","Alex Freeland","LAD","2B,SS","446","FA","24","@ARI Wed 9:40PM","45","1.18","24%","-1%"
"*04prc*","Brandon Lockridge","MIL","OF","447","FA","29","SF Wed 7:40PM","45","1.61","9%","0%"
"*04sxv*","Jose Tena","WSH","2B,3B","448","FA","25","MIA Wed 1:05PM","45","0.96","6%","-1%"
"*0312l*","Brad Keller","PHI","RP","451","FA","30","SD Wed 6:40PM","44.47","1.71","31%","-1%"
"*0516x*","Brent Headrick","NYY","RP","452","FA","28","CLE Wed 7:05PM","44.46","1.53","19%","-2%"
"*04eud*","Shane Drohan","MIL","SP,RP","453","FA","27","SF Wed 7:40PM","44.34","3.69","31%","-2%"
"*0524l*","Yainer Diaz","HOU","C","455","FA","27","PIT Wed 8:10PM","44","1.63","61%","-1%"
